,Plot,Year,Viewshed,NOTES,Snow_melt,All_snow_free,Snow_return_EoS,Half_snow_cover_EoS,Full_snow_cover_EoS,First_leaf_bud_burst,Half_leaves_green,All_leaves_green,First_leaf_yellow,Half_leaves_yellow,All_leaves_yellow,Salix_pulchra_bud_burst,Salix_pulchra_first_yellow,Salix_pulchra_last_yellow,Salix_rich_bud_burst,Salix_rich_first_yellow,Salix_rich_last_yellow,First_greening,Greening_notes
1,KP1-2021,2021,"Bottom half of image : plateau, top half : mountains in distance, thin strip of sky at the top. Gradually more sky in image until camera gets covered in snow in Nov. 2021. Between December 7 and 20 viewshed shows 2/3 plateau and a branch blocking the rest of the image. From Dec. 20 on, camera blocked by snow.","photos start 24 June 2021. Early photos (in late June) show Dryas flowers in bottom right corner, but disappear from view by June 27. Unclear if viewshed moved. Gap in photos July 6 to 20? Camera knocked askew sometime between November 17 and December 7",NA,NA,28/08/2021,NA,29/08/2021,NA,NA,NA,20/07/2021,18/08/2021,14/09/2021,NA,20/07/2021,12/09/2021,NA,NA,NA,NA,
2,KP2-2021,2021,"Bottom 2/3 of image is plateau, top 1/3 is lake in distance.","Lens very cloud after 7 August 2021, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,28/08/2021,NA,28/08/2021,NA,NA,NA,19/07/2021,23/08/2021,19/09/2021,NA,19/07/2021,11/08/2021,NA,NA,NA,NA,
3,KP7-2021,2021,"Shows shrub in foreground with a bit of lake at the top. Starting August 29, shows only ground and a bit of a shrub. Covered in snow intermittently Oct.-Dec.",did not take photos at initial set up. Photos start 6 July 2021.,NA,NA,28/08/2021,NA,29/08/2021,NA,NA,08/07/2021,18/07/2021,20/08/2021,20/09/2021,NA,NA,NA,NA,21/07/2021,27/08/2021,NA,
4,KP3-2021,2021,"24 June-22 July : 3/4 of image is plateau ground, top 1/4 is lake in distance. 23-28 July : image mostly shows mountain and sky in distance. From 28 July : most of image is plateau ground with a thin strip at the top showing mountain in distance.","photos start 24 June 2021. Camera covered in snow Nov. 17-Dec 7, then from Dec. 21.",NA,NA,28/08/2021,NA,27/09/2021,NA,NA,07/07/2021,28/07/2021,21/08/2021,11/09/2021,NA,NA,NA,NA,18/07/2021,12/09/2021,NA,
5,KP5-2021,2021,"Starts out with plateau beign 2/3 of image and mountains in distance+sky filling the remaining 1/3. Camera angle pushed downwards 29 August, only showing plateau ground. Blocked by snow starting Oct. 1st.",Photos start July 28,NA,NA,28/08/2021,NA,29/08/2021,NA,NA,NA,02/08/2021,21/08/2021,19/09/2021,NA,11/08/2021,NA,NA,NA,NA,NA,
6,KP9-2021,2021,"Shows shrub in foreground, a few shrubs in the background and a strip of ground in between.","from 10-20 July 2021 camera is facing the sky, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,28/08/2021,NA,21/09/2021,NA,NA,07/07/2021,02/08/2021,26/08/2021,12/09/2021,NA,NA,NA,NA,12/07/2021,08/09/2021,NA,
7,KP4-2021,2021,Image consistently shows mostly plateau with a thin strip at the top showing lake and valley in distance.,did not take photos at initial set up. Photos start 6 July 2021,NA,NA,28/08/2021,NA,28/09/2021,NA,NA,NA,04/08/2021,27/08/2021,09/09/2021,NA,13/08/2021,13/09/2021,NA,NA,NA,NA,
8,KP6-2021,2021,"Until July 6, shows mostly a shrub with plateau ground. From July 6, shows a shrub in the foreground and top 1/3 of image is mountain/lake/sky. From 28 Sept., image shows ground and a lower plateau ridge. Camera under snow Nov. 15-Dec. 1 and intermittently in December.",photos start 24 June 2021,NA,26/06/2021,28/08/2021,NA,03/10/2021,NA,27/06/2021,06/07/2021,10/08/2021,25/08/2021,05/09/2021,NA,NA,NA,NA,03/08/2021,03/09/2021,NA,
9,KP8-2021,2021,"Image shows 2 shrubs with some ground in between and top quarter of image is lake and valley. July 8-20 camera is pointed at the ground. July 21 on the camera shows one bush in the middle, ground around and a bit of the valley at the top of the image",did not take photos at initial set up. Photos start 6 July 2021,NA,NA,28/08/2021,NA,21/09/2021,NA,NA,09/07/2021,08/08/2021,24/08/2021,08/09/2021,NA,NA,NA,NA,04/08/2021,03/09/2021,NA,
10,KP1-2021,2022,Blocked by snow until June 1st. Shows only ground until June 22. Then 3/4 of image is the plateau and the top 1/4 is the valley in the distance.,Frame very crooked until June 22. Pictures end August 15th so no info on snow at end of season,18/06/2022,23/06/2022,NA,NA,NA,22/06/2022,27/06/2022,07/07/2022,13/08/2022,NA,NA,23/06/2022,NA,NA,NA,NA,NA,22/06/2022, (green lower on the plateau in the distance)
